cluster_id,representative_label,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10
115760,Cluster_115760,jan,dec,oct,feb,nov,aug,mar,sept,apr,sep
115763,drain,saving,drain,drained,saver,draining,,,,,
115769,budget,budget,funds,fund,funding,financing,appropriation,,,,
115771,Cluster_115771,pursuant,ii,iii,vii,viii,xii,xiii,xiv,xvi,xvii
115774,association,association,institute,foundation,project,federation,coalition,initiative,programme,consortium,
115779,Cluster_115779,decontamination,hazmat,haz_mat,,,,,,,
115781,annual,annual,monthly,weekly,yearly,biennial,biannual,biweekly,bimonthly,,
115783,Cluster_115783,looting,plunder,plundering,pillaging,pillage,,,,,
115786,dawn,midnight,dawn,dusk,sunrise,sundown,daybreak,,,,
115788,Cluster_115788,bilateral,multilateral,trilateral,bilaterally,resolved_bilaterally,,,,,
115790,peace,peace,truce,ceasefire,disarmament,disable_yongbyon,,,,,
115794,ancestor,descendants,ancestry,ancestral,lineage,ancestor,primate_ancestors,,,,
115806,march,parade,march,carnival,procession,motorcade,,,,,
115809,Cluster_115809,clap,twirl,shimmy,cartwheel,pirouette,handstand,,,,
115812,ambassador,ambassador,embassy,diplomat,envoy,consulate,consular,undersecretary,consul,,
115814,addiction,rely,dependent,reliance,dependence,addiction,dependency,,,,
115816,imply,imply,signify,herald,harbinger,portend,foreshadow,presage,foretell,,
115820,east,north,south,southern,northern,west,east,western,eastern,northwest,northeast
115823,Cluster_115823,replicate,mimic,recreate,reconstruct,relive,,,,,
115827,adjacent,adjacent,constructed,situated,tucked,nestled,,,,,
115834,expedition,trip,traveling,journey,hiking,trek,expedition,voyage,excursion,trekking,sojourn
115838,thrive,vibrant,thrive,thriving,flourishing,cosmopolitan,,,,,
115842,Cluster_115842,rudder,spinnaker,upwind,starboard,jib,mainsail,windward,headsail,halyard,foredeck
115845,architectural,design,engineering,architectural,architecture,rtkl_associates,,,,,
115849,immigration,immigration,deportation,expel,deport,,,,,,
115853,Cluster_115853,kissing,cuddling,smooch,snogging,snog,nookie,,,,
115855,Cluster_115855,mafia,gangster,thug,mobster,gangland,hoodlum,lout,mafioso,,
115858,Cluster_115858,bankruptcy,reorganization,restructure,insolvency,reorganize,insolvent,receivership,,,
115863,fifteen,ten,hundred,thousand,twenty,twelve,thirty,eleven,fifty,fifteen,forty
115873,Cluster_115873,strangled,strangling,suffocating,strangulation,suffocation,suffocate,,,,
115876,export,export,supplier,import,imported,distributor,exporting,importing,importer,importation,wholesaler
115879,nuclear,nuclear,atomic,radioactive,plutonium,nuke,radioactivity,tritium,,,
115882,cleaning,cleaning,wash,washing,rinse,rinsing,,,,,
115890,blog,blog,twitter,tweet,,,,,,,
115893,casino,gaming,casino,gambling,betting,poker,blackjack,craps,lunkin,phil_galfond,
115896,attorney,attorney,lawyer,prosecutor,prosecution,solicitor,acquittal,,,,
