word,class,level
a,indefinite article,a1
abandon,verb,b2
ability,noun,a2
able,adjective,a2
about,adverb,a1
about,preposition,a1
above,adverb,a1
above,preposition,a1
abroad,adverb,a2
absolute,adjective,b2
absolutely,adverb,b1
academic,adjective,b1
academic,noun,b2
accept,verb,a2
acceptable,adjective,b2
access,noun,b1
access,verb,b1
accident,noun,a2
accommodation,noun,b1
accompany,verb,b2
according to,preposition,a2
account,noun,b1
account,verb,b2
accurate,adjective,b2
accuse,verb,b2
achieve,verb,a2
achievement,noun,b1
acknowledge,verb,b2
acquire,verb,b2
across,adverb,a1
across,preposition,a1
act,noun,b1
act,verb,a2
action,noun,a1
active,adjective,a2
activity,noun,a1
actor,noun,a1
actress,noun,a1
actual,adjective,b2
actually,adverb,a2
ad,noun,b1
adapt,verb,b2
add,verb,a1
addition,noun,b1
additional,adjective,b2
address,noun,a1
address,verb,b2
administration,noun,b2
admire,verb,b1
admit,verb,b1
adopt,verb,b2
adult,adjective,a2
adult,noun,a1
advance,adjective,b2
advance,noun,b2
advance,verb,b2
advanced,adjective,b1
advantage,noun,a2
adventure,noun,a2
advertise,verb,a2
advertisement,noun,a2
advertising,noun,a2
advice,noun,a1
advise,verb,b1
affair,noun,b2
affect,verb,a2
afford,verb,b1
afraid,adjective,a1
after,adverb,a2
after,conjunction,a2
after,preposition,a1
afternoon,noun,a1
afterwards,adverb,b2
again,adverb,a1
against,preposition,a2
age,noun,a1
age,verb,b1
aged,adjective,b1
agency,noun,b2
agenda,noun,b2
agent,noun,b1
aggressive,adjective,b2
ago,adverb,a1
agree,verb,a1
agreement,noun,b1
ah,exclamation,a2
ahead,adverb,b1
aid,noun,b2
aid,verb,b2
aim,noun,b1
aim,verb,b1
air,noun,a1
aircraft,noun,b2
airline,noun,a2
airport,noun,a1
alarm,noun,b1
alarm,verb,b2
album,noun,b1
alcohol,noun,b1
alcoholic,adjective,b1
alive,adjective,a2
all,adverb,a2
all,determiner,a1
all,pronoun,a1
all right,adjective,a2
all right,adverb,a2
all right,exclamation,a2
allow,verb,a2
almost,adverb,a2
alone,adjective,a2
alone,adverb,a2
along,adverb,a2
along,preposition,a2
already,adverb,a2
also,adverb,a1
alter,verb,b2
alternative,adjective,b1
alternative,noun,a2
although,conjunction,a2
always,adverb,a1
amazed,adjective,b1
amazing,adjective,a1
ambition,noun,b1
ambitious,adjective,b1
among,preposition,a2
amount,noun,a2
amount,verb,b2
analyse,verb,b1
analysis,noun,b1
ancient,adjective,a2
and,conjunction,a1
anger,noun,b2
angle,noun,b2
angry,adjective,a1
animal,noun,a1
ankle,noun,a2
anniversary,noun,b2
announce,verb,b1
announcement,noun,b1
annoy,verb,b1
annoyed,adjective,b1
annoying,adjective,b1
annual,adjective,b2
another,determiner,a1
another,pronoun,a1
answer,noun,a1
answer,verb,a1
anxious,adjective,b2
any,adverb,a2
any,determiner,a1
any,pronoun,a1
any more,adverb,a2
anybody,pronoun,a2
anyone,pronoun,a1
anything,pronoun,a1
anyway,adverb,a2
anywhere,adverb,a2
anywhere,pronoun,a2
apart,adverb,b1
apartment,noun,a1
apologize,verb,b1
app,noun,a2
apparent,adjective,b2
apparently,adverb,b2
appeal,noun,b2
appeal,verb,b2
appear,verb,a2
appearance,noun,a2
apple,noun,a1
application,noun,b1
apply,verb,a2
appointment,noun,b1
appreciate,verb,b1
approach,noun,b2
approach,verb,b2
appropriate,adjective,b2
approval,noun,b2
approve,verb,b2
approximately,adverb,b1
April,noun,a1
architect,noun,a2
architecture,noun,a2
area,noun,a1
argue,verb,a2
argument,noun,a2
arise,verb,b2
arm,noun,a1
armed,adjective,b2
arms,noun,b2
army,noun,a2
around,adverb,a1
around,preposition,a1
arrange,verb,a2
arrangement,noun,a2
arrest,noun,b1
arrest,verb,b1
arrival,noun,b1
arrive,verb,a1
art,noun,a1
article,noun,a1
artificial,adjective,b2
artist,noun,a1
artistic,adjective,b2
as,adverb,a2
as,conjunction,a2
as,preposition,a1
ashamed,adjective,b2
ask,verb,a1
asleep,adjective,a2
aspect,noun,b2
assess,verb,b2
assessment,noun,b2
assignment,noun,b1
assist,verb,b1
assistant,adjective,a2
assistant,noun,a2
associate,verb,b2
associated,adjective,b2
association,noun,b2
assume,verb,b2
at,preposition,a1
athlete,noun,a2
atmosphere,noun,b1
attach,verb,b1
attack,noun,a2
attack,verb,a2
attempt,noun,b2
attempt,verb,b2
attend,verb,a2
attention,exclamation,a2
attention,noun,a2
attitude,noun,b1
attract,verb,b1
attraction,noun,b1
attractive,adjective,a2
audience,noun,a2
August,noun,a1
aunt,noun,a1
author,noun,a2
authority,noun,b1
autumn,noun,a1
available,adjective,a2
average,adjective,a2
average,noun,a2
average,verb,b1
avoid,verb,a2
award,noun,a2
award,verb,b1
aware,adjective,b1
away,adverb,a1
awful,adjective,a2
baby,noun,a1
back,adjective,a2
back,adverb,a1
back,noun,a1
back,verb,b2
background,noun,a2
backwards,adverb,b1
bacteria,noun,b2
bad,adjective,a1
badly,adverb,a2
bag,noun,a1
bake,verb,b1
balance,noun,b1
balance,verb,b1
ball,noun,a1
ban,noun,b1
ban,verb,b1
banana,noun,a1
band,noun,a1
bank,noun,a1
bar,noun,a2
bar,verb,b2
barrier,noun,b2
base,noun,b1
base,verb,b1
baseball,noun,a2
based,adjective,a2
basic,adjective,b1
basically,adverb,b2
basis,noun,b1
basketball,noun,a2
bath,noun,a1
bathroom,noun,a1
battery,noun,b1
battle,noun,b1
battle,verb,b2
be,verb,a1
be,auxiliary verb,a1
beach,noun,a1
bean,noun,a2
bear,noun,a2
bear,verb,b2
beat,noun,b2
beat,verb,a2
beautiful,adjective,a1
beauty,noun,b1
because,conjunction,a1
become,verb,a1
bed,noun,a1
bedroom,noun,a1
bee,noun,b1
beef,noun,a2
beer,noun,a1
before,adverb,a2
before,conjunction,a2
before,preposition,a1
beg,verb,b2
begin,verb,a1
beginning,noun,a1
behave,verb,a2
behaviour,noun,a2
behind,adverb,a1
behind,preposition,a1
being,noun,b2
belief,noun,b1
believe,verb,a1
bell,noun,b1
belong,verb,a2
below,adverb,a1
below,preposition,a1
belt,noun,a2
bend,noun,b1
bend,verb,b1
benefit,noun,a2
benefit,verb,b1
bent,adjective,b2
best,adjective,a1
best,adverb,a2
best,noun,a2
bet,noun,b2
bet,verb,b2
better,adjective,a1
better,adverb,a2
better,noun,b1
between,adverb,a2
between,preposition,a1
beyond,adverb,b2
beyond,preposition,b2
bicycle,noun,a1
big,adjective,a1
bike,noun,a1
bill,noun,a1
bill,verb,b2
billion,number,a2
bin,noun,a2
biology,noun,a2
bird,noun,a1
birth,noun,a2
birthday,noun,a1
biscuit,noun,a2
bit,noun,a2
bite,noun,b1
bite,verb,b1
bitter,adjective,b2
black,adjective,a1
black,noun,a1
blame,noun,b2
blame,verb,b2
blank,adjective,a2
blank,noun,a2
blind,adjective,b2
block,noun,b1
block,verb,b1
blog,noun,a1
blonde,adjective,a1
blood,noun,a2
blow,verb,a2
blue,adjective,a1
blue,noun,a1
board,noun,a2
board,verb,b1
boat,noun,a1
body,noun,a1
boil,verb,a2
bomb,noun,b1
bomb,verb,b1
bond,noun,b2
bone,noun,a2
book,noun,a1
book,verb,a2
boot,noun,a1
border,noun,b1
border,verb,b2
bored,adjective,a1
boring,adjective,a1
born,verb,a1
borrow,verb,a2
boss,noun,a2
both,determiner,a1
both,pronoun,a1
